City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,holualoa,19.6228,-155.9522,27.910000000000025,76,40,5.66,US,1688523747
127,vinh yen,21.31,105.5967,29.970000000000027,71,97,2.42,VN,1688523918
128,broome,42.2506,-75.833,22.79000000000002,90,0,1.17,US,1688523919
129,stanley,54.868,-1.6985,11.610000000000014,91,75,2.06,GB,1688523667
130,san buenaventura,27.0833,-101.5333,29.480000000000018,65,82,3.8,MX,1688523919
131,safford,32.834,-109.7076,37.51000000000005,12,1,9.26,US,1688523919
132,livingston,55.9029,-3.5226,11.230000000000018,93,0,2.57,GB,1688523920
133,codrington,-38.2667,141.9667,11.610000000000014,78,91,6.37,AU,1688523690
134,santa elena de uairen,4.6167,-61.1333,19.129999999999995,96,46,1.09,VE,1688523920
135,kayenta,36.7278,-110.2546,30.470000000000027,11,0,11.24,US,1688523920
136,north bend,43.4065,-124.2243,27.360000000000014,77,0,7.72,US,1688523921
137,smara,26.7384,-11.6719,24.0,56,0,3.94,EH,1688523921
138,george town,5.4112,100.3354,30.960000000000036,78,20,2.57,MY,1688523411
139,douz,33.4663,9.0203,27.920000000000016,42,0,3.95,TN,1688523922
140,anadyr,64.75,177.4833,9.28000000000003,87,100,1.0,RU,1688523646
141,amga,60.8953,131.9608,26.629999999999995,50,90,1.9,RU,1688523752
142,onega,63.9061,38.1404,12.220000000000027,87,99,5.06,RU,1688523923
143,bilibino,68.0546,166.4372,12.32000000000005,36,1,3.97,RU,1688523639
144,chadron,42.8294,-102.9999,14.82000000000005,77,100,4.12,US,1688523923
145,la'ie,21.6477,-157.9253,30.980000000000018,66,0,4.47,US,1688523660
146,kodiak,57.79,-152.4072,8.730000000000018,93,100,4.63,US,1688523645
147,nemuro,43.3236,145.575,11.200000000000045,98,100,5.6,JP,1688523676
148,souillac,-20.5167,57.5167,20.210000000000036,88,40,3.09,MU,1688523924
149,el granada,37.5027,-122.4694,23.840000000000032,77,100,8.75,US,1688523749
150,castillos,-34.1667,-53.8333,17.610000000000014,79,47,4.91,UY,1688523782
151,panaba,21.2833,-88.2667,26.939999999999998,80,98,3.62,MX,1688523925
152,ust-nera,64.5667,143.2,22.75,47,46,2.96,RU,1688523659
153,bantay,17.5847,120.3892,32.76000000000005,70,7,2.4,PH,1688523684
154,alta,69.9689,23.2717,13.590000000000032,81,100,0.0,NO,1688523926
155,inderbor,48.55,51.7833,24.160000000000025,60,6,4.92,KZ,1688523926
156,wailua homesteads,22.0669,-159.378,28.439999999999998,74,40,6.17,US,1688523647
157,metahara,8.9,39.9167,22.57000000000005,66,31,4.62,ET,1688523926
158,susuman,62.7833,148.1667,22.25,55,100,0.88,RU,1688523687
